Origin_City,Destination_City,Distance_km,Vehicle_Type,Fuel_Consumption_ltr,Delivery_Time_hrs,Passenger_Count,Freight_Weight_tons,Accident_Occurred,Safety_Rating
Erode,Chennai,79,Car,48.89330386037014,2.115884284491497,30,14.634094520787848,0,5.0864356892217435
Chennai,Madurai,165,Car,16.936975918566382,5.835708123545921,5,7.344692065139166,1,3.033005004646636
Salem,Coimbatore,302,Car,45.26641302756893,3.0357927390771584,31,18.992490283303372,1,7.81683388363479
Trichy,Coimbatore,15,Truck,22.086718554406612,14.298221511155546,36,8.940021557945915,1,3.591468084081069
Chennai,Tirunelveli,89,Van,41.93380842207755,14.576379613926916,20,11.56625422446147,0,2.0298804525094134
Vellore,Vellore,74,Van,33.528938074231306,12.144389648734128,22,4.613089134348778,1,8.428075103022483
Coimbatore,Thoothukudi,483,Van,47.03604325473005,4.17793894722663,20,10.952186224616836,1,5.48208154371458
Coimbatore,Trichy,28,Van,22.474414983099575,20.418045998879485,43,11.656230772077839,1,2.795479854068935
Vellore,Kanchipuram,372,Bus,11.574069954285946,21.300994262011937,25,12.278016949691747,0,1.2254503156713212
Salem,Chennai,490,Truck,34.004477472842304,4.5117951174911415,46,19.51044410884839,1,4.007192138805014
Thoothukudi,Vellore,40,Car,29.44235947460593,15.57819841677198,5,17.72875100696555,0,5.895882699607635
Thoothukudi,Trichy,397,Truck,6.062797792969315,14.88107318535645,18,9.8808540247236,1,4.557259001513477
Tirunelveli,Trichy,341,Truck,21.96442407843049,14.497062245560752,44,11.369426014687706,0,8.815808584533274
Chennai,Tirunelveli,109,Car,13.255227528575155,9.319860290330245,8,7.053126547390336,1,2.3372922205015714
Trichy,Kanchipuram,456,Truck,11.4057869328389,9.832438078632018,40,16.976620073586155,1,4.878196134645326
Coimbatore,Thoothukudi,326,Car,23.360249643885155,14.466983666952258,42,19.374285195281548,1,8.874440771468972
Chennai,Trichy,157,Truck,38.16560114501824,21.44582607254962,37,17.3887704112159,0,7.07030073451886
Coimbatore,Tirunelveli,191,Van,36.008578577236214,7.574103676278422,15,17.097383281000113,1,1.3963659171879135
Thoothukudi,Chennai,273,Car,44.10203517074102,2.6280407049580723,28,19.388920189282487,1,6.054893112232298
Tirunelveli,Madurai,171,Bus,13.061440589962276,18.67316299669192,15,17.57854263432861,0,3.48558115686691
Erode,Chennai,159,Van,27.01380425424758,6.0728985429082565,32,8.870006230771876,1,1.7225525651163007
Erode,Chennai,354,Van,27.254818873182348,19.229959296746447,37,4.993533466051417,0,8.473594859363523
Madurai,Salem,106,Van,46.63584816278064,5.191185769438662,20,14.271516636431533,0,9.073594171287244
Salem,Vellore,285,Car,20.28141668900287,11.028298126097145,45,14.364242446073881,1,3.2844727437732457
Chennai,Vellore,180,Van,25.76095956172521,17.0169487592878,7,3.5122919447960426,0,7.386273537558589
Kanchipuram,Trichy,255,Bus,36.33001530106086,7.953376668119015,44,7.500428661341778,1,4.304006493453623
Tirunelveli,Erode,255,Truck,13.775264740264193,11.225986857727765,49,16.13162573921788,1,5.692528072372
Tirunelveli,Trichy,84,Bus,6.315496167763487,11.287678710088777,18,2.1725692902239833,0,5.554513554431145
Thoothukudi,Kanchipuram,10,Car,49.3816273804331,21.17293636920593,33,5.941921262360282,1,8.00957096655461
Tirunelveli,Vellore,77,Bus,7.552660352965367,20.34441671143166,37,19.4309726970495,1,3.1355934650144524
Vellore,Thoothukudi,257,Truck,22.960648448568296,12.569335947806987,6,10.791904244212606,0,8.365375003907493
Chennai,Coimbatore,483,Truck,45.45387127557972,22.871588446466873,36,1.8385692661901318,0,6.725109068019556
Kanchipuram,Vellore,352,Van,18.756230402507953,6.162064593083184,20,18.489413904079477,0,6.026307904403281
Vellore,Madurai,226,Car,9.471381150179543,15.930336196572984,32,10.094570796061015,1,5.2870973876026115
